County,County Code,Deaths,Population,Crude Rate/100k
"Limestone County, TX",48293,20,23340,85.7
"Bradley County, TN",47011,93,109071,85.3
"St. Francis County, AR",5123,21,24682,85.1
"Dubois County, IN",18037,36,42542,84.6
"Cumberland County, TN",47035,52,61603,84.4
"Cleburne County, AR",5023,21,24935,84.2
"Burleigh County, ND",38015,81,96212,84.2
"Mahoning County, OH",39099,190,226075,84
"McLeod County, MN",27085,30,35710,84
"Prentiss County, MS",28117,21,25013,84
"Bryan County, OK",40013,41,48998,83.7
"Tift County, GA",13277,34,40719,83.5
"Lincoln County, WI",55069,23,27566,83.4
"Austin County, TX",48015,25,29972,83.4
"Stark County, OH",39151,308,369772,83.3
"Pontotoc County, MS",28115,27,32461,83.2
"Ottawa County, MI",26139,245,294635,83.2
"Robeson County, NC",37155,108,129999,83.1
"Fannin County, GA",13111,22,26521,83
"Cocke County, TN",47029,30,36225,82.8
"Brown County, SD",46013,32,38738,82.6
"Pittsburg County, OK",40121,36,43679,82.4
"Mohave County, AZ",4015,179,217206,82.4
"Franklin County, TN",47051,35,42485,82.4
"Amador County, CA",6005,33,40083,82.3
"Garland County, AR",5051,82,99789,82.2
"Hardin County, TN",47071,21,25583,82.1
"Bladen County, NC",37017,27,32911,82
"Hocking County, OH",39073,23,28095,81.9
"Henry County, OH",39069,22,26904,81.8
"Bay County, FL",12005,140,171322,81.7
"Grayson County, TX",48181,113,138318,81.7
"Boyd County, KY",21019,38,46516,81.7
"Rapides Parish, LA",22079,105,128567,81.7
"Putnam County, TN",47141,66,80929,81.6
"Giles County, TN",47055,24,29530,81.3
"Polk County, TX",48373,43,52995,81.1
"Marion County, IL",17121,30,37045,81
"Lafayette County, MS",28071,44,54408,80.9
"McCracken County, KY",21145,53,65644,80.7
"Crow Wing County, MN",27035,53,65644,80.7
"Brown County, OH",39015,35,43414,80.6
"Branch County, MI",26023,35,43424,80.6
"Pearl River County, MS",28109,45,55876,80.5
"Forrest County, MS",28035,60,75009,80
"Muskegon County, MI",26121,139,173883,79.9
"Adams County, OH",39001,22,27531,79.9
"Goodhue County, MN",27049,37,46318,79.9
"Houston County, AL",1069,85,106580,79.8
"Obion County, TN",47131,24,30131,79.7
"Bolivar County, MS",28011,24,30142,79.6
"Coshocton County, OH",39031,29,36449,79.6
"Spokane County, WA",53063,420,528225,79.5
"Kerr County, TX",48265,42,52869,79.4
"Winchester city, VA",51840,22,27700,79.4
"Wayne County, WV",54099,31,39054,79.4
"Jim Wells County, TX",48249,32,40452,79.1
"Colquitt County, GA",13071,36,45542,79
"Franklin County, IL",17055,30,38060,78.8
"Woodford County, IL",17203,30,38091,78.8
"Lenawee County, MI",26091,77,97808,78.7
"Cabell County, WV",54011,72,91589,78.6
"Angelina County, TX",48005,68,86796,78.3
"Mecklenburg County, VA",51117,24,30679,78.2
"Nueces County, TX",48355,284,363148,78.2
"Lincoln County, TN",47103,27,34540,78.2
"Gregg County, TX",48183,97,124229,78.1
"St. Louis County, MN",27137,155,198538,78.1
"Codington County, SD",46029,22,28186,78.1
"Henry County, TN",47079,25,32056,78
"Gillespie County, TX",48171,21,26960,77.9
"Toombs County, GA",13279,21,26973,77.9
"Douglas County, WI",55031,34,43702,77.8
"Ottawa County, OK",40115,24,30879,77.7
"Elk County, PA",42047,23,29607,77.7
"Knox County, ME",23013,31,39951,77.6
"Butte County, CA",6007,165,212744,77.6
"Calhoun County, AL",1015,88,113469,77.6
"Dougherty County, GA",13095,67,86477,77.5
"Androscoggin County, ME",23001,84,108547,77.4
"Sequoyah County, OK",40135,32,41538,77
"Potter County, TX",48375,89,116004,76.7
"Yavapai County, AZ",4025,184,240226,76.6
"Cape May County, NJ",34009,70,91546,76.5
"Lawrence County, AL",1079,25,32857,76.1
"Pulaski County, AR",5119,299,392980,76.1
"Orange County, TX",48361,63,82878,76
"Lawrence County, MO",29109,29,38175,76
"Placer County, CA",6061,306,402950,75.9
"Huron County, OH",39077,44,57979,75.9
"Martin County, FL",12085,123,162088,75.9
"Twin Falls County, ID",16083,67,88411,75.8
"Troup County, GA",13285,53,70214,75.5
"Lafayette Parish, LA",22055,186,246518,75.5
"Surry County, NC",37171,54,71683,75.3
"Shiawassee County, MI",26155,51,67738,75.3
"Benton County, WA",53005,155,206426,75.1
"Waupaca County, WI",55135,38,50664,75
"Scott County, MS",28123,21,28061,74.8
"Lamar County, MS",28073,48,64165,74.8
"Henderson County, TN",47077,21,28076,74.8
"Saginaw County, MI",26145,142,189868,74.8
"Lincoln County, ME",23015,26,34775,74.8
"Moore County, NC",37125,77,103352,74.5
"Monroe County, MI",26115,112,150568,74.4
"Warrick County, IN",18173,47,63269,74.3
"Morgan County, AL",1103,89,119883,74.2
"Calhoun County, MI",26025,99,133580,74.1
"Jackson County, MI",26075,116,156920,73.9
"Marshall County, KY",21157,23,31163,73.8
"Montgomery County, NC",37123,20,27238,73.4
"Jefferson County, AR",5069,48,65377,73.4
"Jefferson County, WA",53031,24,32700,73.4
"Coffee County, AL",1031,39,53230,73.3
"Jackson County, MS",28059,105,143802,73
"Delta County, MI",26041,26,35612,73
"McLean County, IL",17113,125,171256,73
"Sarasota County, FL",12115,323,443465,72.8
"Columbia County, WI",55021,42,57668,72.8
"Washington County, OK",40147,38,52222,72.8
"Bowie County, TX",48037,68,93481,72.7
"Acadia Parish, LA",22001,45,61918,72.7
"Vanderburgh County, IN",18163,132,182447,72.3
"Des Moines County, IA",19057,28,38708,72.3
"Richmond County, NC",37153,32,44332,72.2
"Alexander County, NC",37003,27,37441,72.1
"Dallas County, AL",1047,26,36098,72
"Blount County, TN",47009,97,134751,72
"Stark County, ND",38089,23,32107,71.6
"Fulton County, OH",39051,30,41889,71.6
"Monroe County, GA",13207,20,28042,71.3
"DeKalb County, AL",1049,51,71658,71.2
"Nez Perce County, ID",16069,29,40755,71.2
"Barron County, WI",55005,32,45090,71
"James City County, VA",51095,55,77612,70.9
"Tuscarawas County, OH",39157,65,91776,70.8
"Marshall County, MS",28093,25,35301,70.8
"Jackson County, OH",39079,23,32493,70.8
"Tuscola County, MI",26157,37,52289,70.8
"Bennington County, VT",50003,25,35338,70.7
"Oconee County, GA",13219,29,41124,70.5
"Hawkins County, TN",47073,40,56775,70.5
"Marshall County, AL",1095,68,96990,70.1
"Cooke County, TX",48097,29,41393,70.1
"Wythe County, VA",51197,20,28620,69.9
"Charlotte County, FL",12015,136,194711,69.8
"Dodge County, WI",55027,61,87336,69.8
"Franklin County, AL",1059,22,31507,69.8
"Anderson County, TN",47001,54,77558,69.6
"Ottawa County, OH",39123,28,40253,69.6
"Lee County, GA",13177,21,30234,69.5
"Pickens County, GA",13227,23,33127,69.4
"Marion County, OH",39101,45,64820,69.4
"Lawrence County, PA",42073,59,85083,69.3
"Henderson County, TX",48213,58,83792,69.2
"Napa County, CA",6055,94,135965,69.1
"Taylor County, TX",48441,96,139200,69
"Douglas County, WA",53017,30,43560,68.9
"Clarendon County, SC",45027,23,33415,68.8
"Northumberland County, PA",42097,62,90258,68.7
"Shawano County, WI",55115,28,40786,68.7
"Halifax County, VA",51083,23,33633,68.4
"Benton County, MN",27009,28,40958,68.4
"Wilson County, NC",37195,56,81979,68.3
"Sheridan County, WY",56033,21,30863,68
"Gibson County, IN",18051,23,33825,68
"Orangeburg County, SC",45075,58,85343,68
"Stokes County, NC",37169,31,45743,67.8
"Polk County, GA",13233,29,42840,67.7
"Baldwin County, AL",1003,155,229287,67.6
"Oconee County, SC",45073,54,80015,67.5
"Garfield County, OK",40047,41,60869,67.4
"Macoupin County, IL",17117,30,44567,67.3
"Pueblo County, CO",8101,114,169823,67.1
"Whatcom County, WA",53073,155,231016,67.1
