County,County Code,Deaths,Population,Crude Rate/100k
"Bannock County, ID",16005,44,88795,49.6
"Morgan County, IN",18109,35,70707,49.5
"Mesa County, CO",8077,77,155603,49.5
"Clatsop County, OR",41007,20,40423,49.5
"Kendall County, TX",48259,24,48523,49.5
"Eau Claire County, WI",55035,52,105260,49.4
"Clark County, WA",53011,245,496865,49.3
"Forsyth County, NC",37067,189,383843,49.2
"Cabarrus County, NC",37025,109,221479,49.2
"Loudon County, TN",47105,27,54910,49.2
"Box Elder County, UT",49003,28,57007,49.1
"Spotsylvania County, VA",51177,68,138449,49.1
"La Crosse County, WI",55063,58,118502,48.9
"Kershaw County, SC",45055,33,67472,48.9
"Sumter County, SC",45085,52,106360,48.9
"Marathon County, WI",55073,66,135593,48.7
"Wilson County, TN",47189,72,148130,48.6
"Erath County, TX",48143,21,43224,48.6
"Jackson County, GA",13157,37,76199,48.6
"Hendricks County, IN",18063,84,173251,48.5
"Beltrami County, MN",27007,23,47442,48.5
"McClain County, OK",40087,20,41348,48.4
"Lake County, OH",39085,111,229569,48.4
"Manitowoc County, WI",55071,38,78757,48.2
"Rockwall County, TX",48397,53,109888,48.2
"Oktibbeha County, MS",28105,24,49789,48.2
"Rockingham County, NC",37157,44,91285,48.2
"Flagler County, FL",12035,57,118451,48.1
"Sauk County, WI",55111,31,64449,48.1
"Medina County, OH",39103,87,180912,48.1
"Hardin County, TX",48199,28,58305,48
"Riverside County, CA",6065,1195,2489188,48
"Knox County, TN",47093,228,475609,47.9
"Comal County, TX",48091,79,164812,47.9
"Portage County, WI",55097,34,71032,47.9
"Peoria County, IL",17143,85,177652,47.8
"Greenwood County, SC",45047,34,71074,47.8
"Wise County, TX",48497,34,71084,47.8
"Shenandoah County, VA",51171,21,43905,47.8
"San Luis Obispo County, CA",6079,135,282249,47.8
"San Patricio County, TX",48409,32,67069,47.7
"St. Clair County, MI",26147,76,159293,47.7
"Josephine County, OR",41033,42,88053,47.7
"Kenton County, KY",21117,80,167949,47.6
"Roanoke County, VA",51161,45,94509,47.6
"Perry County, PA",42099,22,46212,47.6
"St. Mary Parish, LA",22101,23,48330,47.6
"Bristol County, RI",44001,23,48350,47.6
"Chatham County, NC",37037,36,75748,47.5
"Henry County, IL",17073,23,48411,47.5
"Cerro Gordo County, IA",19033,20,42103,47.5
"Dallas County, IA",19049,46,96963,47.4
"Macomb County, MI",26099,413,870791,47.4
"Indian River County, FL",12061,77,162518,47.4
"Pike County, KY",21195,27,57057,47.3
"Livingston County, MI",26093,91,192335,47.3
"Grant County, WA",53025,47,99377,47.3
"Wood County, OH",39173,62,131113,47.3
"Marquette County, MI",26103,31,65834,47.1
"Deschutes County, OR",41017,95,201769,47.1
"Horry County, SC",45051,172,365449,47.1
"Elkhart County, IN",18039,97,206161,47.1
"Henderson County, KY",21101,21,44740,46.9
"Cherokee County, OK",40021,23,49019,46.9
"Val Verde County, TX",48465,23,49028,46.9
"Lycoming County, PA",42081,53,113209,46.8
"Portage County, OH",39133,76,162583,46.7
"Cameron County, TX",48061,198,424180,46.7
"Guilford County, NC",37081,252,540521,46.6
"Honolulu County, HI",15003,449,963826,46.6
"Parker County, TX",48367,69,148198,46.6
"Cass County, MI",26027,24,51584,46.5
"Halifax County, NC",37083,23,49479,46.5
"Clinton County, MI",26037,37,79753,46.4
"Navajo County, AZ",4017,52,112112,46.4
"Harrison County, WV",54033,31,66870,46.4
"Solano County, CA",6095,207,446935,46.3
"St. Tammany Parish, LA",22103,122,263446,46.3
"Montgomery County, OH",39113,246,531610,46.3
"Madera County, CA",6039,73,157761,46.3
"Cumberland County, NJ",34011,68,147008,46.3
"Chittenden County, VT",50007,76,164306,46.3
"Union County, NC",37179,113,244562,46.2
"Jefferson County, OH",39081,30,64939,46.2
"Creek County, OK",40037,33,71485,46.2
"Lafourche Parish, LA",22057,45,97596,46.1
"Allen County, OH",39003,47,101980,46.1
"Chambers County, TX",48071,21,45590,46.1
"Chesterfield County, SC",45025,21,45606,46
"Pickaway County, OH",39129,27,58658,46
"St. Joseph County, MI",26149,28,60848,46
"Carteret County, NC",37031,32,69558,46
"San Diego County, CA",6073,1531,3332427,45.9
"Lackawanna County, PA",42069,96,208989,45.9
"Duplin County, NC",37061,27,58794,45.9
"Washington Parish, LA",22117,21,45773,45.9
"Medina County, TX",48325,24,52358,45.8
"Guadalupe County, TX",48187,78,170608,45.7
"Charleston County, SC",45019,191,417981,45.7
"Lowndes County, GA",13185,54,118268,45.7
"Oklahoma County, OK",40109,367,804041,45.6
"Dakota County, MN",27037,197,431807,45.6
"Caldwell County, TX",48055,20,43979,45.5
"Boone County, IL",17007,24,52777,45.5
"Cleveland County, NC",37045,45,99035,45.4
"Cache County, UT",49005,59,130004,45.4
"Stevens County, WA",53065,21,46360,45.3
"Fayette County, KY",21067,147,324735,45.3
"Pima County, AZ",4019,480,1061175,45.2
"Kent County, DE",10001,83,183643,45.2
"Ramsey County, MN",27123,247,547903,45.1
"Tuscaloosa County, AL",1125,95,210758,45.1
"Lancaster County, PA",42071,246,546192,45
"Harrison County, MS",28047,94,208801,45
"Sarpy County, NE",31153,85,188856,45
"Allen County, IN",18003,172,382187,45
"Alamance County, NC",37001,77,171346,44.9
"Kern County, CA",6029,405,901362,44.9
"Lincoln County, MO",29113,27,60119,44.9
"Tulsa County, OK",40143,295,657589,44.9
"Rutherford County, TN",47149,152,339261,44.8
"Kaufman County, TX",48257,64,143198,44.7
"Lonoke County, AR",5085,33,73921,44.6
"Wagoner County, OK",40145,37,82925,44.6
"Suwannee County, FL",12121,20,44851,44.6
"Washington County, VT",50023,26,58328,44.6
"Yuma County, AZ",4027,97,217824,44.5
"Newton County, MO",29145,26,58451,44.5
"Brazoria County, TX",48039,169,380518,44.4
"Athens County, OH",39009,29,65481,44.3
"Robertson County, TN",47147,32,72275,44.3
"Hall County, NE",31079,27,61028,44.2
"Johnson County, IN",18081,71,160607,44.2
"St. Clair County, IL",17163,114,258046,44.2
"Sampson County, NC",37163,28,63382,44.2
"Lynchburg city, VA",51680,36,81561,44.1
"Jones County, MS",28067,30,67993,44.1
"Le Flore County, OK",40079,22,49935,44.1
"Warren County, NY",36113,28,63756,43.9
"Porter County, IN",18127,75,170980,43.9
"Ward County, ND",38101,30,68466,43.8
"Venango County, PA",42121,22,50328,43.7
"Yuba County, CA",6115,35,80160,43.7
"Windsor County, VT",50027,24,54988,43.6
"Tipton County, TN",47167,27,61918,43.6
"Jasper County, MO",29097,53,121648,43.6
"Lexington County, SC",45063,132,303946,43.4
"Bulloch County, GA",13031,35,80839,43.3
"San Mateo County, CA",6081,328,758308,43.3
"Shawnee County, KS",20177,76,175999,43.2
"Cuyahoga County, OH",39035,530,1227883,43.2
"Augusta County, VA",51015,33,76544,43.1
"Henry County, GA",13151,103,239139,43.1
"El Paso County, TX",48141,362,841286,43
"New Castle County, DE",10003,241,561531,42.9
"Autauga County, AL",1001,24,56145,42.7
"Linn County, OR",41043,56,131054,42.7
"Kittitas County, WA",53037,21,49204,42.7
"Lancaster County, SC",45057,43,100926,42.6
"Washington County, MN",27163,113,265476,42.6
"Yakima County, WA",53077,107,251879,42.5
"Williamson County, TN",47187,104,245348,42.4
"Lebanon County, PA",42075,60,141663,42.4
"Westmoreland County, PA",42129,147,347087,42.4
"Arapahoe County, CO",8005,278,657452,42.3
"Butler County, OH",39017,163,385648,42.3
"Dorchester County, SC",45035,70,165737,42.2
"Klamath County, OR",41035,29,68739,42.2
"Burke County, NC",37023,38,90418,42
"Maricopa County, AZ",4013,1922,4579081,42
"Fairfield County, OH",39045,67,159709,42
"Ingham County, MI",26065,121,290609,41.6
"Lehigh County, PA",42077,154,370802,41.5
"Bastrop County, TX",48021,38,91601,41.5
"Washtenaw County, MI",26161,152,366473,41.5
"Whitfield County, GA",13313,43,103837,41.4
"Bedford County, VA",51019,33,79811,41.3
"Haywood County, NC",37087,26,62972,41.3
"Douglas County, NE",31055,237,574332,41.3
"Muscogee County, GA",13215,81,196442,41.2
"Schuylkill County, PA",42107,58,140709,41.2
"Northampton County, PA",42095,126,305892,41.2
"Morris County, NJ",34027,202,491087,41.1
"Rock County, WI",55105,67,163084,41.1
"Scott County, IA",19163,71,173216,41
"Chesterfield County, VA",51041,146,358245,40.8
,,134242,329474777,40.7
"Cherokee County, GA",13057,108,265274,40.7
"Island County, WA",53029,35,86014,40.7
"Carroll County, NH",33003,20,49167,40.7
"Darlington County, SC",45031,27,66509,40.6
"Miami-Dade County, FL",12086,1098,2707303,40.6
"Dickson County, TN",47043,22,54376,40.5
"Coweta County, GA",13077,61,150849,40.4
"Pope County, AR",5115,26,64334,40.4
"Missoula County, MT",30063,49,121630,40.3
"Galveston County, TX",48167,139,345089,40.3
"Walton County, GA",13297,39,96875,40.3
"Warren County, IA",19181,21,52265,40.2
"Stearns County, MN",27145,65,162038,40.1
"Kent County, RI",44003,66,164646,40.1
"Salem County, NJ",34033,25,62451,40
"Van Zandt County, TX",48467,23,57533,40
"King County, WA",53033,908,2274315,39.9
"Gloucester County, NJ",34015,117,293245,39.9
"Allegheny County, PA",42003,483,1211358,39.9
"Camden County, NJ",34007,202,506809,39.9
"Fond du Lac County, WI",55039,41,102902,39.8
"Delaware County, OH",39041,85,213554,39.8
"Anderson County, TX",48001,23,57805,39.8
"Camden County, GA",13039,22,55388,39.7
"Craven County, NC",37049,40,101233,39.5
"Davidson County, TN",47037,274,694176,39.5
"Sandusky County, OH",39143,23,58351,39.4
"Clark County, IN",18019,47,119266,39.4
"Eddy County, NM",35015,23,58418,39.4
"Hidalgo County, TX",48215,344,875200,39.3
"Washington County, PA",42125,81,206803,39.2
"Washington County, OR",41067,236,603514,39.1
"Bartholomew County, IN",18005,33,84447,39.1
"Bexar County, TX",48029,792,2026823,39.1
"Rock Island County, IL",17161,55,140907,39
"Middlesex County, CT",9007,63,161657,39
"Portsmouth city, VA",51740,37,95094,38.9
"York County, PA",42133,175,450448,38.9
"Rutherford County, NC",37161,26,67076,38.8
"York County, SC",45091,112,289105,38.7
"Ionia County, MI",26067,25,64553,38.7
"San Joaquin County, CA",6077,297,767967,38.7
"Alameda County, CA",6001,642,1662323,38.6
"Cass County, ND",38017,71,183904,38.6
"Columbia County, PA",42037,25,64842,38.6
"San Bernardino County, CA",6071,844,2189183,38.6
"Winnebago County, WI",55139,66,171631,38.5
"Whiteside County, IL",17195,21,54656,38.4
"Tarrant County, TX",48439,813,2123347,38.3
"Sandoval County, NM",35043,57,148904,38.3
"Brunswick County, NC",37019,57,149039,38.2
"Cumberland County, ME",23005,114,298111,38.2
"Kennebec County, ME",23011,47,122955,38.2
"Lee County, FL",12071,301,790767,38.1
"Broome County, NY",36007,72,189420,38
"Nash County, NC",37127,36,94859,38
"Washington County, NY",36115,23,60606,38
"Warren County, KY",21227,51,134510,37.9
"Coryell County, TX",48099,29,76737,37.8
"St. Charles Parish, LA",22089,20,52987,37.7
"Cowlitz County, WA",53015,42,111371,37.7
"Bernalillo County, NM",35001,257,681666,37.7
"Erie County, PA",42049,101,268426,37.6
"Licking County, OH",39089,67,178100,37.6
"Wichita County, TX",48485,50,133205,37.5
"Santa Fe County, NM",35049,57,151946,37.5
"Shelby County, TN",47157,351,936017,37.5
"Cumberland County, NC",37051,126,336364,37.5
"Lincoln County, NC",37109,33,88097,37.5
"DeKalb County, IL",17037,39,104491,37.3
"Davis County, UT",49011,134,359232,37.3
"Berrien County, MI",26021,57,153025,37.2
"Williamson County, TX",48491,230,617855,37.2
"Hancock County, OH",39063,28,75407,37.1
"La Plata County, CO",8067,21,56564,37.1
"Newton County, GA",13217,42,113295,37.1
"Nacogdoches County, TX",48347,24,64753,37.1
"Adams County, IL",17001,24,64783,37
"Hennepin County, MN",27053,469,1268408,37
"Maui County, HI",15009,62,167902,36.9
"Dallas County, TX",48113,972,2635888,36.9
"Livingston County, NY",36051,23,62398,36.9
"Rusk County, TX",48401,20,54324,36.8
"Buncombe County, NC",37021,97,263477,36.8
"Bell County, TX",48027,136,369927,36.8
"Bibb County, GA",13021,56,152737,36.7
"Blue Earth County, MN",27013,25,68241,36.6
"Dona Ana County, NM",35013,81,221262,36.6
"Weber County, UT",49057,96,262658,36.5
"Lorain County, OH",39093,114,312172,36.5
"Rogers County, OK",40131,34,93155,36.5
"Effingham County, GA",13103,24,65765,36.5
"Snohomish County, WA",53061,303,830393,36.5
"St. Lucie County, FL",12111,123,337186,36.5
"Sherburne County, MN",27141,36,98811,36.4
"Grand Traverse County, MI",26055,34,93592,36.3
"Luzerne County, PA",42079,115,316982,36.3
"Cochise County, AZ",4003,46,127450,36.1
"Jefferson Parish, LA",22051,156,432346,36.1
"Smith County, TX",48423,85,235806,36
"Sumter County, FL",12119,50,139018,36
"Santa Rosa County, FL",12113,68,189139,36
"El Paso County, CO",8041,261,728310,35.8
"Otsego County, NY",36077,21,58701,35.8
"Sussex County, NJ",34037,50,140002,35.7
"Rockingham County, NH",33015,111,311307,35.7
"Craighead County, AR",5031,40,112245,35.6
"Saratoga County, NY",36091,82,230298,35.6
"Madison County, NY",36053,25,70478,35.5
"Canyon County, ID",16027,84,237053,35.4
"DuPage County, IL",17043,325,917481,35.4
"Benton County, OR",41003,33,93239,35.4
"Franklin County, PA",42055,55,155637,35.3
"Ocean County, NJ",34029,217,614237,35.3
"Berkshire County, MA",25003,44,124571,35.3
"Centre County, PA",42027,57,161496,35.3
"Paulding County, GA",13223,61,173359,35.2
"Mason County, WA",53045,24,68224,35.2
"Denton County, TX",48121,323,919324,35.1
"Hanover County, VA",51085,38,108262,35.1
"Washington County, AR",5143,85,243216,34.9
"Lincoln County, SD",46083,22,63019,34.9
"Woodbury County, IA",19193,36,103138,34.9
"Steuben County, NY",36101,33,94657,34.9
"Franklin County, NC",37069,25,71859,34.8
"Pinal County, AZ",4021,167,480828,34.7
"Merrimack County, NH",33013,53,152622,34.7
"Comanche County, OK",40031,42,121099,34.7
"Boone County, IN",18011,24,69347,34.6
"Polk County, IA",19153,170,494281,34.4
"Brown County, WI",55009,91,264610,34.4
"Delaware County, IN",18035,39,113454,34.4
"New London County, CT",9011,91,264999,34.3
"Lyon County, NV",32019,20,58319,34.3
"Rice County, MN",27131,23,67084,34.3
"Polk County, OR",41053,30,87744,34.2
"Cheshire County, NH",33005,26,76228,34.1
"Reno County, KS",20155,21,61793,34
"Hampton city, VA",51650,46,135464,34
"Boulder County, CO",8013,111,327171,33.9
"Mecklenburg County, NC",37119,383,1128945,33.9
"Johnson County, KS",20091,206,607220,33.9
"Wayne County, MI",26163,590,1740623,33.9
"Shelby County, AL",1117,75,221428,33.9
"Brevard County, FL",12009,206,608459,33.9
"Douglas County, GA",13097,50,147988,33.8
"Johnston County, NC",37101,73,216246,33.8
"Grant County, IN",18053,22,65225,33.7
"Berks County, PA",42011,142,421017,33.7
"Monongalia County, WV",54061,36,106819,33.7
"Ontario County, NY",36069,37,110091,33.6
"Bristol County, MA",25005,190,566765,33.5
"Champaign County, IL",17019,70,209192,33.5
"Multnomah County, OR",41051,272,815637,33.3
"Pierce County, WA",53053,304,913890,33.3
"Oakland County, MI",26125,416,1253459,33.2
"Lake County, IL",17097,230,693593,33.2
"Berkeley County, SC",45015,78,235987,33.1
"Lake County, IN",18089,161,487536,33
"Washington County, TN",47179,43,130367,33
"Penobscot County, ME",23019,50,151655,33
"Kosciusko County, IN",18085,26,78988,32.9
"Monroe County, PA",42089,56,170154,32.9
"Clarke County, GA",13059,42,127795,32.9
"Outagamie County, WI",55087,62,188766,32.8
"Clay County, MO",29047,83,253463,32.7
"Collin County, TX",48085,351,1072069,32.7
"Douglas County, CO",8035,118,360750,32.7
"Richland County, SC",45079,137,419051,32.7
"Racine County, WI",55101,64,195802,32.7
"Plymouth County, MA",25023,171,523738,32.6
"Cobb County, GA",13067,249,762944,32.6
"Weld County, CO",8123,109,333983,32.6
"Milwaukee County, WI",55079,308,945016,32.6
"New Haven County, CT",9009,277,851948,32.5
"Greene County, OH",39057,55,170122,32.3
"Indiana County, PA",42063,27,83664,32.3
"Monterey County, CA",6053,139,430906,32.3
"Montgomery County, TX",48339,202,626351,32.3
"Tooele County, UT",49045,24,74512,32.2
"Hernando County, FL",12053,64,198792,32.2
"Clark County, NV",32003,744,2315963,32.1
"New Hanover County, NC",37129,76,236613,32.1
"Wright County, MN",27171,45,140249,32.1
"Chesapeake city, VA",51550,79,247011,32
"Cascade County, MT",30013,26,81346,32
"Lapeer County, MI",26087,28,87635,32
"Hartford County, CT",9003,284,889226,31.9
"San Francisco County, CA",6075,276,866606,31.8
"Pinellas County, FL",12103,311,976802,31.8
"Douglas County, KS",20045,39,122530,31.8
"Payne County, OK",40119,26,81755,31.8
"Litchfield County, CT",9005,57,179610,31.7
"Bucks County, PA",42017,199,627987,31.7
"Hamilton County, IN",18057,109,344238,31.7
"Rensselaer County, NY",36083,50,158108,31.6
"Linn County, IA",19113,72,227854,31.6
"Somerset County, NJ",34035,104,329331,31.6
"Barrow County, GA",13013,27,85588,31.5
"Raleigh County, WV",54081,23,72920,31.5
"Black Hawk County, IA",19013,41,130786,31.3
"Webb County, TX",48479,87,277681,31.3
"Salt Lake County, UT",49035,364,1165517,31.2
"Oneida County, NY",36065,71,227346,31.2
"Will County, IL",17197,215,688726,31.2
"Carbon County, PA",42025,20,64081,31.2
"Lake County, FL",12069,117,375492,31.2
"Marion County, IN",18097,301,966183,31.2
"Santa Clara County, CA",6085,593,1907105,31.1
"Geauga County, OH",39055,29,93271,31.1
"Hillsborough County, NH",33011,130,418735,31
"Monroe County, IN",18105,46,148219,31
"Washington County, RI",44009,39,125746,31
"Cleveland County, OK",40027,89,287066,31
"Platte County, MO",29165,33,106532,31
"Pender County, NC",37141,20,64671,30.9
"Fauquier County, VA",51061,22,71361,30.8
"Kalamazoo County, MI",26077,82,265988,30.8
"Citrus County, FL",12017,47,153010,30.7
"Miami County, OH",39109,33,107516,30.7
"Harnett County, NC",37085,42,137058,30.6
"Livingston Parish, LA",22063,44,143737,30.6
"Norfolk County, MA",25021,217,709409,30.6
"Passaic County, NJ",34031,153,500382,30.6
"Sangamon County, IL",17167,59,193882,30.4
"York County, VA",51199,21,69199,30.3
"Ascension Parish, LA",22005,39,128665,30.3
"Dane County, WI",55025,167,552536,30.2
"Hancock County, IN",18059,24,79553,30.2
"Newport News city, VA",51700,54,179062,30.2
"Virginia Beach city, VA",51810,136,451231,30.1
"Gwinnett County, GA",13135,284,942627,30.1
"Hillsborough County, FL",12057,451,1497957,30.1
"Calvert County, MD",24009,28,93072,30.1
"Boone County, MO",29019,55,182991,30.1
"Cecil County, MD",24015,31,103419,30
"Monmouth County, NJ",34025,185,618381,29.9
"Grafton County, NH",33009,27,90691,29.8
"Jefferson County, KY",21111,228,767452,29.7
"Monroe County, NY",36055,219,740900,29.6
"Boone County, KY",21015,40,135396,29.5
"Franklin County, OH",39049,391,1324624,29.5
"Bergen County, NJ",34003,274,930394,29.4
"McHenry County, IL",17111,90,305888,29.4
"Fulton County, GA",13121,315,1077402,29.2
"St. Louis city, MO",29510,87,297645,29.2
"Essex County, MA",25009,231,791263,29.2
"Leavenworth County, KS",20103,24,82246,29.2
"Windham County, CT",9015,34,116540,29.2
"Broomfield County, CO",8014,21,72236,29.1
"Chemung County, NY",36015,24,82622,29
"Matanuska-Susitna Borough, AK",2170,32,110213,29
"Ashtabula County, OH",39007,28,96513,29
"Collier County, FL",12021,114,392973,29
"Cayuga County, NY",36011,22,76029,28.9
"Santa Cruz County, CA",6087,78,269925,28.9
"DeKalb County, GA",13089,220,762009,28.9
"Franklin County, WA",53021,28,97075,28.8
"Cook County, IL",17031,1472,5108284,28.8
"Alachua County, FL",12001,78,271218,28.8
"Pasco County, FL",12101,164,570412,28.8
"Suffolk city, VA",51800,27,93913,28.8
"Stafford County, VA",51179,45,156748,28.7
"Clayton County, GA",13063,84,292646,28.7
"Seminole County, FL",12117,136,474171,28.7
"Onondaga County, NY",36067,131,459214,28.5
"Tangipahoa Parish, LA",22105,39,136765,28.5
"Pitt County, NC",37147,52,182924,28.4
"Liberty County, TX",48291,26,91547,28.4
"Flathead County, MT",30029,30,105851,28.3
"Roanoke city, VA",51770,28,99058,28.3
"Dauphin County, PA",42043,79,279874,28.2
"Terrebonne Parish, LA",22109,31,109859,28.2
"Anoka County, MN",27003,101,359921,28.1
"Fairfield County, CT",9001,264,942426,28
"Van Buren County, MI",26159,21,75474,27.8
"Durham County, NC",37063,91,327306,27.8
"Benton County, AR",5007,80,288774,27.7
"Montgomery County, PA",42091,231,833869,27.7
"Albany County, NY",36001,84,303654,27.7
"Ulster County, NY",36111,49,177716,27.6
"Forsyth County, GA",13117,69,250847,27.5
"Orleans Parish, LA",22071,107,389476,27.5
"Cass County, MO",29037,29,106806,27.2
"Denver County, CO",8031,197,735538,26.8
"Fayette County, PA",42051,34,128126,26.5
"Wake County, NC",37183,300,1132271,26.5
"Orange County, NY",36071,102,385234,26.5
"Sullivan County, NY",36105,20,75802,26.4
"Yellowstone County, MT",30111,43,162990,26.4
"Lee County, AL",1081,44,166831,26.4
"Talladega County, AL",1121,21,79985,26.3
"Montgomery County, TN",47125,56,214251,26.1
"Marion County, OR",41047,91,349204,26.1
"Wyandotte County, KS",20209,43,165265,26
"Utah County, UT",49049,169,651059,26
"Jackson County, MO",29095,183,705925,25.9
"Jefferson County, NY",36045,28,108095,25.9
"Orange County, NC",37135,38,149077,25.5
"Carroll County, MD",24013,43,169092,25.4
"Merced County, CA",6047,71,279252,25.4
"Bonneville County, ID",16019,31,122134,25.4
"Erie County, NY",36029,232,917241,25.3
"Lancaster County, NE",31109,81,320650,25.3
"Polk County, FL",12105,188,744552,25.3
"Victoria County, TX",48469,23,91936,25
"Worcester County, MA",25027,207,829212,25
"Burlington County, NJ",34005,111,446596,24.9
"Norfolk city, VA",51710,60,242803,24.7
"Campbell County, KY",21037,23,94020,24.5
"Hays County, TX",48209,59,241365,24.4
"Harris County, TX",48201,1158,4738253,24.4
"Story County, IA",19169,24,98237,24.4
"Anchorage Borough, AK",2020,70,287095,24.4
"Adams County, CO",8001,126,519883,24.2
"Cumberland County, PA",42041,62,255857,24.2
"Canadian County, OK",40017,37,153192,24.2
"Tippecanoe County, IN",18157,47,196115,24
"Union County, NJ",34039,133,555394,23.9
"Fort Bend County, TX",48157,201,839706,23.9
"Berkeley County, WV",54003,29,122125,23.7
"Baltimore County, MD",24005,196,826017,23.7
"Mercer County, NJ",34021,87,367239,23.7
"Scott County, MN",27139,35,150689,23.2
"Hawaii County, HI",15001,47,203340,23.1
"Kenosha County, WI",55059,39,169671,23
"Middlesex County, NJ",34023,189,822736,23
"Kings County, CA",6031,35,152692,22.9
"Essex County, NJ",34013,179,800501,22.4
"Dutchess County, NY",36027,65,293293,22.2
"Palm Beach County, FL",12099,332,1507600,22
"Nassau County, NY",36059,295,1351334,21.8
"Travis County, TX",48453,278,1300503,21.4
"Anne Arundel County, MD",24003,124,582777,21.3
"Orange County, FL",12095,298,1404396,21.2
"Chester County, PA",42029,111,526759,21.1
"Leon County, FL",12073,62,295460,21
"Daviess County, KY",21059,21,101978,20.6
"Gallatin County, MT",30031,24,116806,20.5
"Westchester County, NY",36119,197,965802,20.4
"Richmond city, VA",51760,47,232226,20.2
"Hudson County, NJ",34017,135,671666,20.1
"Middlesex County, MA",25017,323,1609379,20.1
"Philadelphia County, PA",42101,315,1578487,20
"Kootenai County, ID",16055,34,170628,19.9
"Harford County, MD",24025,51,256805,19.9
"Chautauqua County, NY",36013,25,126032,19.8
"Sedgwick County, KS",20173,102,519907,19.6
"San Juan County, NM",35045,24,123312,19.5
"St. Johns County, FL",12109,54,278715,19.4
"New York County, NY",36061,312,1611989,19.4
"Wicomico County, MD",24045,20,103990,19.2
"Niagara County, NY",36063,40,208396,19.2
"Hampden County, MA",25013,89,463986,19.2
"Washoe County, NV",32031,91,477082,19.1
"Delaware County, PA",42045,108,566753,19.1
"Kane County, IL",17089,101,531010,19
"Coconino County, AZ",4005,27,142481,18.9
"Osceola County, FL",12097,73,385315,18.9
"Warren County, NJ",34041,20,105624,18.9
"Brazos County, TX",48041,44,232555,18.9
"Washington County, MD",24043,28,151146,18.5
"Rockland County, NY",36087,60,326225,18.4
"Suffolk County, NY",36103,266,1474273,18
"Onslow County, NC",37133,36,203943,17.7
"Kendall County, IL",17093,23,130638,17.6
"Prince George's County, MD",24033,159,909612,17.5
"Calcasieu Parish, LA",22019,34,203310,16.7
"Broward County, FL",12011,323,1958105,16.5
"Bronx County, NY",36005,231,1401142,16.5
"Prince William County, VA",51153,78,475533,16.4
"Clay County, FL",12019,36,221770,16.2
"Howard County, MD",24027,53,328200,16.1
"Suffolk County, MA",25025,128,801582,16
"Frederick County, MD",24021,41,265161,15.5
"Montgomery County, MD",24031,162,1051816,15.4
"Fairfax County, VA",51059,162,1150847,14.1
"Richmond County, NY",36085,65,475327,13.7
"Baltimore city, MD",24510,79,586131,13.5
"Loudoun County, VA",51107,55,422784,13
"Queens County, NY",36081,284,2225821,12.8
"Alexandria city, VA",51510,20,158726,12.6
"Arlington County, VA",51013,30,240119,12.5
"District of Columbia, DC",11001,88,712816,12.3
"Duval County, FL",12031,112,966728,11.6
"Kings County, NY",36047,269,2538934,10.6
"Bibb County, AL",1007,12,22136,Unreliable
"Butler County, AL",1013,13,19504,Unreliable
"Cherokee County, AL",1019,17,26294,Unreliable
"Crenshaw County, AL",1041,16,13681,Unreliable
"Fayette County, AL",1057,13,16241,Unreliable
"Henry County, AL",1067,18,17223,Unreliable
"Marion County, AL",1093,12,29703,Unreliable
"Monroe County, AL",1099,12,20459,Unreliable
"Pickens County, AL",1107,11,19793,Unreliable
"Randolph County, AL",1111,11,22920,Unreliable
"Sumter County, AL",1119,13,12225,Unreliable
"Washington County, AL",1129,10,15976,Unreliable
"Wilcox County, AL",1131,11,10206,Unreliable
"Winston County, AL",1133,19,23508,Unreliable
"Fairbanks North Star Borough, AK",2090,11,95651,Unreliable
"Kenai Peninsula Borough, AK",2122,16,59414,Unreliable
"Graham County, AZ",4009,19,39211,Unreliable
"La Paz County, AZ",4012,11,21480,Unreliable
"Santa Cruz County, AZ",4023,14,46808,Unreliable
"Arkansas County, AR",5001,18,17383,Unreliable
"Boone County, AR",5009,13,37625,Unreliable
"Carroll County, AR",5015,14,28276,Unreliable
"Clark County, AR",5019,10,22103,Unreliable
"Columbia County, AR",5027,14,23331,Unreliable
"Conway County, AR",5029,16,21037,Unreliable
"Crittenden County, AR",5035,11,47616,Unreliable
"Cross County, AR",5037,16,16142,Unreliable
"Drew County, AR",5043,14,17977,Unreliable
"Franklin County, AR",5047,18,17897,Unreliable
"Greene County, AR",5055,15,45597,Unreliable
"Hempstead County, AR",5057,11,21253,Unreliable
"Hot Spring County, AR",5059,16,33787,Unreliable
"Howard County, AR",5061,12,13109,Unreliable
"Izard County, AR",5065,12,13613,Unreliable
"Johnson County, AR",5071,15,26513,Unreliable
"Lincoln County, AR",5079,14,12944,Unreliable
"Little River County, AR",5081,11,12180,Unreliable
"Madison County, AR",5087,13,16644,Unreliable
"Miller County, AR",5091,18,43177,Unreliable
"Ouachita County, AR",5103,15,23167,Unreliable
"Phillips County, AR",5107,10,17299,Unreliable
"Pike County, AR",5109,10,10643,Unreliable
"Poinsett County, AR",5111,11,23283,Unreliable
"Polk County, AR",5113,10,19707,Unreliable
"Scott County, AR",5127,11,10164,Unreliable
"Sharp County, AR",5135,11,17424,Unreliable
"Stone County, AR",5137,15,12674,Unreliable
"Van Buren County, AR",5141,12,16541,Unreliable
"Glenn County, CA",6021,10,28283,Unreliable
"Humboldt County, CA",6023,18,134977,Unreliable
"Lake County, CA",6033,13,64479,Unreliable
"Mendocino County, CA",6045,18,86061,Unreliable
